Year,Category,Film Title,Winner,Speech
2006,Costume Design,Marie Antoinette,Milena Canonero," MILENA CANONERO:
Well, I'm very happy to be here but it's also very frightening to be here. So in one way I wanted to get this doll [pats the Oscar], and another, I was frightened. But thank you very, very much.

I want to thank Francis, first of all, for introducing me to Sofia when we were doing ""Cotton Club."" And she was this [motions to her height as a girl], and now she's my director. I think she did a wonderful movie; her movie is like a poem and she inspired me. I haven't prepared this speech so I have to hurry up because Marshall, my husband, said I have to get out of here quickly. So I want to thank everybody who had anything to do with this movie. Without them I wouldn't be here, and it's a communal effort, therefore thank everybody very, very much. I want to dedicate this award first of all to Momma, then Hugh Hudson, and Stanley Kubrick, my great master. Without them, I wouldn't be here.  Thank you.
"
2006,Film Editing,The Departed,Thelma Schoonmaker," THELMA SCHOONMAKER:
Thank you. Thank you so much. This is the third film you've given the Oscar to that was made by Martin Scorsese, and believe me I know I wouldn't be standing here if it wasn't for him. You can understand what it was like to be given a film directed the way he directed this movie, with a wonderful script by Bill Monahan, the fantastic panoply of actors who were just so magnificent. Working with Marty is quite something. It's tumultuous, passionate, funny and it's like being in the best film school in the world. I'm so grateful to you and to my two pillars in the editing room, Scott Brock and Joel Hirsch, and Rob Legato and Ron Ames for putting their arms around us and doing the visual effects and supporting us throughout. And to you, members of the Academy, I feel very honored. Thank you so much.
"
2006,Short Film (Animated),The Danish Poet,Torill Kove," TORILL KOVE:
Thank you. First I have to apologize to Tom Hanks because I did bring a list just in case. But I want to thank the Academy for this wonderful award, it's such an honor, and also for continuing to support this animated short category. That really means a lot to us.

I want to thank the National Film Board of Canada and all the funders and supporters in Norway for helping us make this film. My producers Marcy Page and Lise Fearnley of Mikrofilm in Norway. I want to thank Liv Ullmann for just her beautiful narration, that was really amazing of her to participate in this. And for everyone else who helped make me this film, I just want to say thank you, thank you, thank you. You know who you are, I know who you are and I know that without you I wouldn't be standing here with this little guy. Thank you very much.
"
2006,Jean Hersholt Humanitarian Award,None,Sherry Lansing," SHERRY LANSING:
I am deeply honored and very grateful to receive this award, but I also must admit that it feels a little strange to be singled out; so many of you have causes that you are equally passionate about. That is really what is so wonderful about the movie industry, not only do we get to make films that matter, but we also work in a culture where we are encouraged to speak out. We may not always agree, but we do always care.

Through my work I have met scientists who struggle every day to find cures for diseases.  They do so quietly, without glamour or attention, but always with passion and conviction. I have met school teachers who are battling against insurmountable odds, and yet they never stop trying to reach our children. To me they are the real heroes, and tonight I share this honor with all of them.

On a personal note, I want to thank my husband Billy and our two boys, Cedric and Jack, whose unconditional love gives me the courage to fight every day for what I believe in. And a special thank you to the members of the Academy for this extraordinary honor. I promise to spend the rest of my life trying to live up to it.  Thank you so much.  Thank you.
"
2007,Actress in a Leading Role,La Vie en Rose,Marion Cotillard," MARION COTILLARD:
Oh, thank you so much.  Olivier, what you did to me, Maestro Olivier Dahan. You rocked my life.  You've truly rocked my life.  Thank you so much to Picturehouse for your passion.  Members of the Academy, thank you so, so much! And wow, well I'm speechless now.  I, I, well – Thank you life, thank you love, and it is true, there is some angels in this city.  Thank you so, so much.
"
2007,Actress in a Supporting Role,Michael Clayton,Tilda Swinton," TILDA SWINTON:
Oh, no.  [To the statuette:] Happy birthday, man.  I have an American agent who is the spitting image of this, really truly the same shape head and, it has to be said, the buttocks.  And I'm giving this to him because there's no way I would be in America at all, ever on a plane, if it wasn't for him.  So, Brian Swardstrom, I'm giving this to you.

And Tony Gilroy walks on water, it's entirely official as far as I'm concerned.  And Jen Fox and Steve Samuels, our incredible producers, and Sydney Pollack.  And George Clooney, you know, the seriousness and the dedication to your art.  Seeing you climb into that rubber bat suit from ""Batman & Robin,"" the one with the nipples, every morning under your costume, on the set, off the set, hanging upside-down at lunch. You rock, man.

Thank you, thank you, thank you!
"
2008,Actress in a Leading Role,The Reader,Kate Winslet," KATE WINSLET:
Okay, that fainting thing, Penélope.  I'd be lying if I haven't made a version of this speech before.  I think I was probably eight years old and staring into the bathroom mirror and this [holding up her statuette] would've been a shampoo bottle.  Well, it's not a shampoo bottle now!  I feel very fortunate to have made it all the way from there to here and I'd like to thank some of the people along the way who had faith in me.  My friends and my family, especially my mum and dad, who are in this room somewhere.  Dad, whistle or something, 'cause then I'll know where you are.  [Loud whistle.] Yeah!  I love you!

I also want to thank Hylda Queally, Dallas Smith and the late, much loved, much missed Robert Garlock.  And from Peter Jackson and Emma Thompson to my very own Sam and Stephen Daldry.  I'm very lucky to have been given ""Hanna Schmitz"" by Bernhard Schlink and David Hare.  And Stephen, working with you is an experience I will never forget.  There was no division between the cast and the crew on this film, and that's what made it so special.  So, to have been surrounded by a remarkable group of people who provided an unbroken chain of support, from David Kross to Ralph Fiennes, Bruno Ganz, Lena Olin, from hair and makeup to cinematography, from the art department to the ADs, and from New York to Berlin.  And I'm so lucky to have a wonderful husband and two beautiful children who let me do what I love and who love me just the way that I am.

Anthony [Minghella] and Sydney [Pollack], this is for you.  This is for both of you.  And I want to acknowledge my fellow nominees, these goddesses.  I think we all can't believe we're in a category with Meryl Streep at all.  I'm sorry, Meryl, but you have to just suck that up!  And just to the Academy, thank you so much.  My God!  Thank you!
"
2008,Documentary (Short Subject),Smile Pinki,Megan Mylan," MEGAN MYLAN:
Wow!  Oh, to be in a room with all this talent, lucky me.  And to tell stories for a living, lucky me.  And to have a family and friends who love me and my movies totally, unconditionally.  Documentary, like all filmmaking, is a complete team sport, and I'd like to thank my editor Purcell Carson, cinematographers Nick Doob and Jon Shenk, field producer Nandini Rajwade, and from HBO Sheila Nevins and Lisa Heller.  The same magic that happens in our film happens every day for children with clefts all around the world because of a terrific organization called The Smile Train.  But most importantly for documentary filmmakers it's our subjects:  the incredible Dr. Subodh and his team, Ghutaru Chauhan, and our heroine Pinki Kumari.  Thank you, thank you, thank you for letting me tell your inspiring story.  What a gift.  Thank you all so much.
"
2009,Actress in a Leading Role,The Blind Side,Sandra Bullock," SANDRA BULLOCK:
Did I really earn this or did I just wear you all down?  I would like to thank the Academy for allowing me in the last month to have the most incredible ride, with rooms full of artists that I see tonight and that I've worked with before and I hope to work with in the future, who inspire me and blaze trails for us.  Four of them, that I've fallen deeply in love with, I share this night with and I share this award with.  Gabby, I love you so much. You are exquisite.  You are beyond words to me.  Carey, your grace and your elegance and your beauty and your talent makes me sick.  Helen, I feel like we are family, through(?) family, and I don't have the words to express just what I think of you.  And Meryl, you know what I think of you, and you are such a good kisser.

I have so many people to thank for my good fortune in this lifetime, and this is a once-in-a-lifetime experience, I know.  To the family that allowed me to play them, the Tuohy family.  I know they're in here and you'll probably hear her in a minute... Maybe not. Thank you for giving me the opportunity to the family that made this film, that gave me the opportunity to do something different:  John Lee Hancock, Gil Netter, Alcon, Warner Bros., the actors. Everyone who's shown me kindness when it wasn't fashionable, I thank you.  To everyone who was mean to me when it wasn't... like George Clooney threw me in a pool years ago.  I'm still holding a grudge.

But there's so many people to thank; not enough time.  So I would like to thank what this film was about for me, which are the moms that take care of the babies and the children no matter where they come from.  Those moms and parents never get thanked.  I, in particular, failed to thank one.  So... if I can take this moment to thank Helga B. for not letting me ride in cars with boys till I was eighteen, 'cause she was right; I would've done what she said I was gonna do.  For making me practice every day when I got home, piano, ballet, whatever it is I wanted to be.  She said to be an artist you had to practice every day.  And for reminding her daughters that there's no race, no religion, no class system, no color, nothing, no sexual orientation, that makes us better than anyone else.  We are all deserving of love.  So, to that trailblazer who allowed me to have that, and this [referring to the Oscar], and this, I thank you so much for this opportunity that I share with these extraordinary women, and my lover Meryl Streep.  Thank you.
"
2009,Actress in a Supporting Role,Precious: Based on the Novel 'Push' by Sapphire,Mo'Nique," MO'NIQUE:
First, I would like to thank the Academy for showing that it can be about the performance and not the politics.  I want to thank Miss Hattie McDaniel for enduring all that she had to so that I would not have to.  Tyler Perry and Oprah Winfrey, because you touched it the whole world saw it.  Ricky Anderson, our attorney of Anderson & Smith, thank you for your hard work.  My entire BET family, my ""Precious"" family, thank you so much.  To my amazing husband Sidney, thank you for showing me that sometimes you have to forgo doing what's popular in order to do what's right.  And baby, you were so right.  God bless us all.
"
2009,Costume Design,The Young Victoria,Sandy Powell," SANDY POWELL:
Wow.  Well, I already have two of these, so I'm feeling greedy.  I'd like to dedicate this one to the costume designers that don't do movies about dead monarchs or glittery musicals.  The designers that do the contemporary films and the low-budget ones that actually don't get as recognized, and they should do and they work as hard.  So this is for you, but I'm gonna take it home tonight.  Thank you.
"
2009,Directing,The Hurt Locker,Kathryn Bigelow," KATHRYN BIGELOW:
This really is, um, there's no other way to describe it, it's the moment of a lifetime.  First of all, this is so extraordinary to be in the company of such powerful, my fellow nominees, such powerful filmmakers who have inspired me and I have admired for, some of whom, for decades.  And thank you to every member of the Academy.  This is, again, the moment of a lifetime.

I would not be standing here if it wasn't for Mark Boal, who risked his life for the words on the page and wrote such a courageous screenplay.  That I was fortunate enough to have an extraordinary cast bring that screenplay to life in Jeremy Renner, Anthony Mackie and Brian Geraghty.  And, I think the secret to directing is collaborating and I had truly an extraordinary group of collaborators in my crew:  Barry Ackroyd, and Kalle Júlíusson, and Bob Murawski, Chris Innis, Ray Beckett, Richard Stutsman.  And if I could just also thank my producing partners in Greg Shapiro and Nick Chartier, and my wonderful agent Brian Siberell.  And the people of Jordan, who were such a... so hospitable to us when we were shooting.

And I'd just like to dedicate this to the women and men in the military who risk their lives on a daily basis in Iraq and Afghanistan and around the world.  And may they come home safe.  Thank you.
"
2010,Actress in a Leading Role,Black Swan,Natalie Portman," NATALIE PORTMAN:
Thank you.  Thank you so much.  Thank you so much to the Academy.  This is insane and I truly, sincerely wish that the prize tonight was to get to work with my fellow nominees.  I'm so in awe of you.  I am so grateful to get to do the job that I do.  I love it so much.  I want to thank my parents, who are right there, first and foremost for giving me my life and for giving me the opportunity to work from such an early age, and showing me every day how to be a good human being by example.

And I want to thank my team who works with me every day.  Aleen Keshishian, my manager for eighteen years.  And my agents, Kevin Huvane and everyone at CAA.  Bryna and Tamar at I/D.  My friends, who are everything to me no matter what's going on in my career.  And everyone who's ever hired me:  Luc Besson, who gave me my first job when I was eleven years old; Mike Nichols, who has been my hero and my champion for the past decade; and now Darren Aronofsky. You are a fearless leader, a visionary.  I am blessed to have just gotten to get to work with you every day for the period of time we did.

So many people helped me prepare for this role.  Mary Helen Bowers spent a year with me, training me.  Michelle Rodriguez, and Kurt Froman, and Olga Kostritzky, Marina Stavitskaya, and my beautiful love, Benjamin Millepied, who choreographed the film and has now given me my most important role of my life. And also there are people on films that no one ever talks about that are your heart and soul every day.  Margie and Geordie, who did my hair and makeup; Nicci, who dressed me; and Kate and Laura Mulleavy, who designed the beautiful ballet costumes.  Joe Reidy, our incredible AD, first AD.  And our camera operators, J.C. and Steve, you gave me so much soul behind the camera every day and you gave me all of your energy.  Most importantly, my family, my friends, and my love.  Thank you so much.
"
2010,Actress in a Supporting Role,The Fighter,Melissa Leo," MELISSA LEO:
Oh my!  Oh my god!  Oh wow!  Really, really, really, really, really, truly wow.  I know there's a lot of people that said a lotta real, real nice things to me for several months now, but I'm just shakin' in my boots here.  Okay, alright.  Thank you, David O. Russell.  I want to thank the actors:  Mark Wahlberg; Christian Bale – he might've run out for a second; Amy, my sweet sister Adams; Jack; our lovely daughters.  Okay... yeah, I am kind of speechless.  Golly sakes, there's people up there, too [waving to the balcony sections].  When I watched Kate two years ago it looked so fuckin' easy – oops!

Alice Ward, your beautiful family that opened your hearts.  I saw Mick here earlier. Dick, shout out for Nana?  Alright, Dick's not in the room.  Thank you so much, opening your hearts to all of us to make this film.  I thanked David, I'll thank him again.  My family, my beautiful son who's traveling right now in South America and can't join me.  It's okay; I'm okay, Jack.  My mom and my dad, and my brother, and my friends, and my family.  And I wanna thank the very most of all, the Academy of Motion Picture Sciences, their board of governors and all their members, whom many of you are here today. This has been an extraordinary journey in getting to know what the Academy is about, and first and foremost, thank you, Academy.  Because it's about sellin' motion pictures and respecting the work!  Thank you so much!
"
2010,Costume Design,Alice in Wonderland,Colleen Atwood," COLLEEN ATWOOD:
Thank you to the Academy and especially to my fellow nominees who are just so much fun to sit with at the, tonight and have been so supportive.  It's great to be part of such a great group of people.  The story ""Alice in Wonderland"" was described by its publisher in 1865 as a story valued for its rare imagination, priceless humor, and power to transport the reader into a world of pure fantasy; a gift to us all.  The heart of any movie lies with the director and I've been incredibly lucky on this and many films to work with the singular Tim Burton.  Tim's imagination along with the amazing cast – Johnny's incandescent ""Hatter,"" Mia's ""Alice"" for all girls all times, Helena's the fearless, big-headed queen, and our crystalline snowflake princess Anne Hathaway – made my job a delight.  We had the support of a production team headed by Richard Zanuck and Katterli Frauenfelder, supported by Joe Roth, Suzanne and Jen Todd, and Disney, but I couldn't have done it without my team: Christine Cantella and my entire group.  Thank you all very much.
"
2011,Actress in a Leading Role,The Iron Lady,Meryl Streep," MERYL STREEP:
Oh my god. Oh, c'mon! Oh! Alright. Thank you so much. Thank you, thank you. I -- when they called my name I had this feeling I could hear half of America going, ""Oh no! Oh, c'mon why? Her? Again?"" You know? But, whatever. [Laughs]

First I'm going to thank Don, because when you thank your husband at the end of the speech they play him out with the music, and I want him to know that everything I value most in our lives you've given me. And now secondly, my other partner. Thirty-seven years ago, my first play in New York City, I met the great hairstylist and makeup artist Roy Helland. And we worked together pretty continuously since the day we clapped eyes on each other. His first film with me was ""Sophie's Choice,"" and all the way up to tonight when he won for his beautiful work in ""The Iron Lady"" thirty years later. Every single movie in between. And I just want to thank Roy, but also I want to thank -- because I really understand I'll never be up here again. I really want to thank all my colleagues, all my friends. I look out here and, you know, I see my life before my eyes: my old friends, my new friends. And really, this is such a great honor, but the thing that counts the most with me is the friendships and the love and the sheer joy we have shared making movies together. My friends, thank you, all of you, departed and here, for this, you know, inexplicably wonderful career. Thank you so much. Thank you.
"
2011,Actress in a Supporting Role,The Help,Octavia Spencer," OCTAVIA SPENCER:
Oh, thank you. Thank you, Academy, for putting me with the hottest guy in the room. I have to thank my families. My family in Alabama. The state of Alabama. My L.A. family, watching at Steven's* [unintelligible]. My ""Help"" family. Tate…Tate, Brunson, Kathryn, Allison Janney, thank you for being in my life. I share this with everybody. Thank you, Steven Spielberg, for changing my life. Thank you, Stacey Snider, for changing my life. Please wrap up….I'm wrapping up. I'm sorry, I'm freakin' out. Thank you, world. Oh god, and thank you to WME and Viewpoint L.A. I'm sorry guys. I love you. Thank you. I'm sorry.
"
2011,Jean Hersholt Humanitarian Award,None,Oprah Winfrey," OPRAH WINFREY:
I didn't prepare a speech because I just wanted to feel whatever this is. Because Maria is so correct, it's very difficult for me to open myself to receive what people have to offer. And so tonight I came prepared to be open, and I would like to thank the Board of Governors for the opportunity to receive the love, and the Oscar.

I never imagined myself receiving an Oscar, certainly not for doing what I believe is a part of my calling, is a part of my being. It's a part of why I am here. And what I know for sure is the only reason I am here is because Quincy Jones was in a hotel in Chicago in 1985, and was taking a shower, and was there for a lawsuit, that somebody was suing Michael Jackson saying that they were the girl of the song, or whatever. And he saw me on ""A.M. Chicago"" and said, ""I think that's Sofia."" So I would like to thank Quincy Jones, who is in Dubai right now.

But Quincy Jones was a part of a divine manifestation for me. Those of you, anybody here who's ever watched ""The Oprah Show"" has heard me tell the story of how I first watched, first read The New York Times review on a Sunday about ""The Color Purple."" I read the review, because the book review is the first thing I ever look at on The New York Times. And Stedman and I to this day, it's like, ""You want the book review?"" I go, ""You read the front section. I'll read the book review first."" And I read the book review of ""The Color Purple."" And was in my pajamas, put on my coat, in Baltimore, and went to the bookstore and got the book. And from that moment became, literally, drawn to, in some kind of mystical way, to that story. Mainly because the character... The first line of the book is, ""Dear God, I'm fourteen years old..."" And I had lived that life and couldn't imagine that someone was able to put into words what I had already experienced.

And so began this journey that I was able to really understand that God's hand, or power greater than myself, ""the forces,"" as Sidney Poitier calls them, were engaged in leading my life to a plane and a level that I had not even imagined. But I released myself to those forces, and literally said inside myself, ""Thy will be done."" And as a part of that journey, to be here tonight... Maria touched on it but it is really -- Stedman and I talk about this all the time. It's unimaginable if you are not a black, former colored girl, born in Mississippi in 1954, it's impossible for you to even know what this journey has meant. I know Larry Gordon, Mississippi Jew [laughs], almost as rare as I am [laughs], can begin to understand what that means, to be born in 1954 in Mississippi.

When I saw ""The Help,"" and first heard that there was gonna be a movie called ""The Help,"" and first read the book, ""The Help,"" I thought that is my story. My grandmother was a maid. Her mother was a maid. The mother before her was a slave. My mother was a maid. My grandmother's greatest dream for me was that I would grow up in a family and have a career where... She used to say, ""I hope you get some good white folks. I hope you get some good white folks like I have. I have good white folks."" And the only picture I have of my grandmother is of her holding a white child in her maid's uniform. So, the journey from Kosciusko, Mississippi, where nobody ever even imagined it possible that you could be anything other than a maid who had some good white folks, who would give you clothes and would let you take food home on the holidays. It's unimaginable that I would be standing before you, voted by the Board of Governors... It's unimaginable. It's unimaginable. It's unimaginable. It is unimaginable! And so when I say thank you, the thank you comes from a place deeper than even I know, Sharon [Stone]. Even deeper than I know. Because it's not just from me, it's from everybody who made me possible. It's from every shoulder I ever stood on, every bridge I ever crossed, every story that's ever told, every story that ever imagined this day to be possible.

I thank you for this award. And I will... What this means for me is, I woke up this morning, I said, ""What is Oscar? What is a... Oscar...?"" You know, I grew up wanting to be an actress and my father, being a barber and coming from the culture that he came from, said, ""No daughter of mine's going to be laying on some casting couch."" That was his idea of what being an actress meant. And so when the opportunity showed itself to me, to be a part of ""The Color Purple,"" it really is, was divine intervention, just to be a part of being able to share that story. I knew that something special, magical, a door had opened to me. And after that door came ""The Oprah Winfrey Show"" and many other doors. But a door opened to me through the magic and majesty of film. The ability to tell stories in such a way that you connect to the heart-space of people, and you connect to the place where people really live, and not just live but where their souls abide, that is what great films do. And to this day, ""The Color Purple"" experience is one of the greatest experiences of my life.

And yes, I'd like to do more films, but to receive the Jean Hersholt Humanitarian Award means more to me than any film, any acclaim, even an Oscar. Because what it says is that you all get it. The Board of Governors, you get it. You get that what I've been trying to do and what I've been trying to say all these years is that every single person, Ayanna, and all of you and every person I've spoken to in over fifty thousand interviews of ""The Oprah Winfrey Show,"" every single person who incarnates here to the planet matters. Your life matters. You matter. What you do matters. The fact that you are here, that you are born, that your presence here on earth means something. That's what I've been trying to say through all of my work, be it film, be it ""The Oprah Winfrey Show,"" be it the magazine, it is that we all matter. And what I really, really, really, really know for sure, is that this award to me represents all of you, sitting in a room -- I don't know how this happens. The governors, I don't know who you are. But when I got the call from Tom [Sherak] I was literally on a hike in Hawaii, and I get the call. The Academy has called! Security comes for me and says, ""You must come down from the mountain now! Stop the hike because Tom from the Academy is on the phone."" And then Larry Gordon is saying, ""Answer the phone! Answer the phone!"" And I'm like, whaaat...? Okay! What this really means is that you all understand that what I've been trying to do and what I've tried to say all these years, is that all us can make a difference through the life that we live.

And when you understand, as I do, that this to me, I'm gonna allow this Oscar... Like I've interviewed everybody over the years and say, ""Where do you keep your Oscar?"" And people are always so nonchalant about it and they say: ""Oh my, I keep it in my bathroom."" ""I don't know where mine is."" ""My sister has it."" Well my new sister, my sister who I just discovered last year, this time last year, is here. Pat is here. I will say she will not have it; I will have it! And it will be on, I will keep it on my desk in front of me to remind me that you have voted for me. You have voted for what I believe is the essence of why we're all here. We're all here to help each other. We're all here to use our lives in service to one another. And nobody who has ever, ever done any kind of work... I mean I run a girls school and those girls are gonna be graduating from college. The first in their families to ever graduate from college. The first in their families to ever graduate high school. And those girls are coming to the United States and they're going to Wellesley and they're going to Brown and they're going to Tufts and they're going to all the great universities. And I will tell you that anybody who's ever done that, done any kind of work where you are hands on, where you're up on the phone and you're on at four o'clock in the morning and two in the morning and whatever, you're not doing that because you think you're gonna get an Oscar one day. You're doing it because you believe in the power of every human being who has come to this planet. And you know that these are all bodies, but inside the bodies there's a soul and a spirit and a power greater than we know. And for me this Oscar will represent love from all of you. I thank you for your vote of love and I will use it to increase the open space in my heart to continue to do the great and good work that we've all come to do and serve. Thank you so much.
"
2012,Actress in a Leading Role,Silver Linings Playbook,Jennifer Lawrence," JENNIFER LAWRENCE:
Thank you. You guys are just standing up because you feel bad that I fell and that's really embarrassing, but thank you. This is nuts.

Thank you to the Academy and thank you to the women this year. You were so magnificent and so inspiring, and not just those of you in my category. And it has been so amazing getting to know you. And you've been so nice and you've made this experience unforgettable. And thank you to the best producing team: Bruce, Donna, Jon. And to my team at CAA and I/D PR. And Bradley, and our entire cast – Chris, Jacki, Bob – and our crew. And my family. Happy birthday, Emmanuelle. Thank you so much. Thanks.
"
2012,Actress in a Supporting Role,Les Misérables,Anne Hathaway," ANNE HATHAWAY:
It came true. Thank you so much to the Academy for this and for nominating me with Helen Hunt, Jacki Weaver, Amy Adams and Sally Field. I look up to you all so much and it's just been such an honor. Thank you.

There are so many people whose generosity and support is the reason that I'm standing here right now. I must thank Hugh Jackman. Hugh, you're the best. The cast, the crew, especially Simon Hayes and the sound wizards. Congratulations on tonight, you guys. The creative team behind ""Les Misérables"": Cameron Mackintosh, Tom Hooper; from Working Title: Eric Fellner, Tim Bevan, Debra Hayward; and from Universal: Ron Meyer, Donna Langley and Adam Fogelson. Thank you, guys, for your faith and thank you for this opportunity.

I have to thank my team, led by the lionhearted Suzan Bymel. Josh Lieberman, Mick Sullivan, Maha Dakhil… Please say I just said everyone. Josh Lieberman again, just to be safe. Stephen Huvane, Jason Sloane and special contributions by Frank Selvaggi and Kerry Wagner. I want to thank my friends, especially the ones who are cheering from Crosby Street tonight. My family, who I'm so blessed to be a part of. My husband. By far and away, the greatest moment of my life is the one when you walked into it. I love you so much.

And thank you for this. Here's hoping that someday in the not too distant future the misfortunes of ""Fantine"" will only be found in stories and nevermore in real life. Thank you.
"
2012,Costume Design,Anna Karenina,Jacqueline Durran," JACQUELINE DURRAN:
Thank you to the Academy. This is absolutely overwhelming. And I'd like to accept it on behalf of the great team that worked with me on ""Anna Karenina""; a wonderful director, Joe Wright; fantastic producers at Working Title. And my children, for bearing with me. They're completely oblivious to this; they're fast asleep in England. Thank you very much.
"
2013,Actress in a Leading Role,Blue Jasmine,Cate Blanchett," CATE BLANCHETT:
Sit down; you're too old to be standing. Thank you, Mr. Day-Lewis. From you it exacerbates this honor to it and it blows it right out of the ballpark. Thank you so much to the Academy. As random and as subjective as this award is, it means a great deal in a year of extraordinary – yet again – extraordinary performances by women. Amy Adams, everything you do, but your performance in ""American Hustle"" blew my mind. And Meryl, what can I say? Sandra, I could watch that performance to the end of time, and I sort of felt like I had. Julia, #suckit. You know what I mean? And Judi Dench, I mean what a career. She's not here tonight because at the age of 79 her film was so successful that she's in India doing a sequel. I mean what a career that is, if I could hope.

And me, I'm here accepting an award in an extraordinary screenplay by Woody Allen. Thank you so much, Woody, for casting me. I truly appreciate it. I'm so very proud that ""Blue Jasmine"" stayed in the cinemas for as long as it did. And thank you to Sony Classics, to Michael and Tom, for their extraordinary support, for so bravely and intelligently distributing the film. And to the audiences who went to see it, and perhaps those of us in the industry who are still foolishly clinging to the idea that female films with women at the center are niche experiences. They are not. Audiences want to see them and, in fact, they earn money. So... The world is round, people!

Thank you to my mum, to my sister, to my brother, to my three glorious sons; I would not be standing here without you. To my husband Andrew, you are a legend. Thank you to my agent Hylda Queally; you're behind the pillar somewhere up there. You are a goddess. To my agent in Australia, Robyn Gardiner, I love you so very much. To my publicist Lisa Kasteler. To the sublime Sally Hawkins and to the extraordinary cast of ""Blue Jasmine,"" I don't know how to do this without other actors and this I share with you. To the hair and makeup people who sweated me up and tried to make me look attractive, thank you for the attempt. To Carla Meyer, for getting Sally and I together and for incredible support. To Helen Robin. To everyone involved in ""Blue Jasmine,"" I thank you so much.

And finally, I would like to thank every single member of the Sydney Theatre Company, one of the great theater companies in the world. For me working on ""Blue Jasmine,"" it was a real synthesis of my work in the theater and on film. And not only working with you for the last six years has been the most enormous privilege of my career, but it's made me a better actress. There is so much talent in Australia, and Michael Wilkinson and CM and I are just tonight's tip of the iceberg. Thank you so much. Thank you.
"
2013,Actress in a Supporting Role,12 Years a Slave,Lupita Nyong'o," LUPITA NYONG'O:
Yes! Thank you to the Academy for this incredible recognition. It doesn't escape me for one moment that so much joy in my life is thanks to so much pain in someone else's. And so I want to salute the spirit of ""Patsey"" for her guidance. And for Solomon, thank you for telling her story and your own.

Steve McQueen, you charge everything you fashion with a breath of your own spirit. Thank you so much for putting me in this position; it has been the joy of my life. I'm certain that the dead are standing about you and watching and they are grateful and so am I. Chiwetel, thank you for your fearlessness and how deeply you went into telling Solomon's story. Michael Fassbender, thank you so much; you were my rock. Alfre and Sarah, it was a thrill to work with you. Joe Walker, the invisible performer in the editing room, thank you. Sean Bobbitt, Kalaadevi, Adruitha, Patty Norris, thank you, thank you, thank you. I could not be here without your work.

I want to thank my family for your training, and the Yale School of Drama as well for your training. My friends, the Wilsons, this one's for you. My brother Junior, sitting by my side, thank you so much. You are my best friend. And Ben, my other best friend, my chosen family. When I look down at this golden statue, may it remind me and every little child that no matter where you're from your dreams are valid. Thank you.
"
2013,Costume Design,The Great Gatsby,Catherine Martin," CATHERINE MARTIN:
I do have a few words tucked into my bra. It's a very Australian thing to do. It's where you put your tissues. I'll be very short. It's not a long list. Of course, I'd like to thank the Academy but mainly I'd like to thank my incredible team. I have a group of ladies who are sewing for me right now in Sydney on a show we're making of Baz's first film, a musical. They're my golden girls. They've been working with me for 25 years. They bring me such incredible luck. They'll all be watching the TV right now and they know who they are. There are two people I have to thank very, very specially: Kerry Thompson and Silvana Azzi Heras. And, of course, my incomparable husband Baz Luhrmann. He makes it all possible. He dreams the dream.
"
2014,Actress in a Leading Role,Still Alice,Julianne Moore," JULIANNE MOORE:
Thank you so much. I read an article that said that winning an Oscar could lead to living five years longer. If that's true, I'd really like to thank the Academy because my husband is younger than me. There's no such thing as best actress, as is evidenced by the performances of my fellow nominees. I've been honored to be among you every step of the way. I am grateful for this and grateful for the opportunity to stand up here and thank people that I love. My manager Evelyn O'Neill, Kevin Huvane, Steven Huvane, Josh Lieberman. My family: my grandparents, my brother Peter, my sister Valerie, my mother and father who told me that I could be whatever I wanted to be if I got an education. Although I didn't think they meant being an actress. And I thank my dad for showing me the world.

I want to thank everybody who made this movie: Sony Classics, Killer Films, James Brown, Lex Lutzus, Lisa Genova, Kristen Stewart, Alec Baldwin. I'm so happy, I'm thrilled, actually, that we were able to hopefully shine a light on Alzheimer's disease. So many people with this disease feel isolated and marginalized, and one of the wonderful things about movies is it makes us feel seen and not alone. And people with Alzheimer's deserve to be seen, so that we can find a cure. And finally, to our filmmakers, Wash Westmoreland and Richard Glatzer, who had hoped to be here tonight but they can't because of Richard's health. When Richard was diagnosed with ALS, Wash asked him what he wanted to do. Did he want to travel? Did he want to see the world? And he said that he wanted to make movies, and that's what he did. And finally, for my husband Bart and our children, Cal and Liv, thank you for my life, thank you for giving me a home. Thank you very much for this.
"
2014,Actress in a Supporting Role,Boyhood,Patricia Arquette," PATRICIA ARQUETTE:
Okay, Jesus. Thank you to the Academy, to my beautiful, powerful nominees. To IFC, Jonathan Sehring, John Sloss, Cathleen Sutherland, Molly Madden, David DeCamillo, our whole cast and our crew. My ""Boyhood"" family, who I love and admire: our brilliant director, Richard Linklater; the impeccable Ethan Hawke; my lovelies, Ellar Coltrane, Lorelei Linklater.

Thomas and Paul, thank you for giving me my beautiful children. Enzo and Harlow, you're the deepest people that I know. My friends who all work so hard to make this world a better place. To my parents, Rosanna, Richmond, Alexis and David. To my favorite painter in the world, Eric White, for the inspiration of living with a genius. To my heroes, volunteers and experts who have helped me bring ecological sanitation to the developing world with GiveLove.org. To every woman who gave birth. To every taxpayer and citizen of this nation, we have fought for everybody else's equal rights. It's our time to have wage equality once and for all and equal rights for women in the United States of America.
"
