Year,Category,Film Title,Winner_x,Speech,YouTube,Winner_y
2019,Costume Design,Little Women,Jacqueline Durran,"JACQUELINE DURRAN:
Thank you to the Academy. I'm indebted to a lot of people. To a wonderful team. To an amazing cast. To producer Amy Pascal. To my family, who enable me to be a working mother. And first and last, to Greta Gerwig. She was an inspiration to all of us with her courage and her brilliance. Thank you.",,Jacqueline Durran
2019,Documentary (Feature),American Factory,"Steven Bognar, Julia Reichert and Jeff Reichert","JULIA REICHERT:
Wow, thank you. Well, even before that envelope got opened, just being in the presence, in the company of our sister and brother documentarians who risked their lives making stories – bringing stories to us about hospitals being bombed in Syria, about Brazil, about Macedonia – we were so proud. We are inspired by you guys. Our film is from Ohio and China. Go, Buckeyes! Sorry. But it really could be from anywhere that people put on a uniform, punch a clock, trying to make their families have a better life. Working people have it harder and harder these days and we believe that things will get better when workers of the world unite.

STEVEN BOGNAR:
Thank you, Academy. Thank you to everyone who trusted us to tell your story. Xie xie, Cao Dewang. Thank you to our unstoppable crew, our beloved friends and family, Yiqian Zhang, Mijie Li, our unstoppable editor Lindsay Utz. And to those big-hearted people at Netflix, Participant Media, Higher Ground Productions, and the tough, inventive, great people of Dayton, Ohio.",,Julia Reichert
2019,Documentary (Short Subject),LEARNING TO SKATEBOARD IN A WARZONE (IF YOU'RE A GIRL),Carol Dysinger and Elena Andreicheva,"CAROL DYSINGER:
Oh my god. Frank Capra – you guys remember – Frank Capra handed me a Student Academy Award in 1977. And I thought I had skipped the hard part; I thought I would then go on to make movies. And if I hadn't had that encouragement at my back back then, I wouldn't have been able to withstand the last four decades in this business. I want to thank A&E IndieFilms and Molly Thompson, Grain Media. To Adam Mitchenall, the man behind the women. The brilliants, my Lisa Rinzler, cinematographer, and Mary Manhardt, editor extraordinaire. To Zama and Tam Ayzai, our number one girl crew. I've been working in Afghanistan since 2005, and this movie is my love letter to the brave girls of that country. To get to Capra from here took a whole lot of not quitting, and teachers – the kind I strive to be at NYU Film School and the kind of teachers at Skateistan, the school at the heart of the film. They teach girls courage, to raise your hand, to say: I am here. I have something to say. And I'm gonna take that ramp, don't try to stop me. Thank you very much.

ELENA ANDREICHEVA:
Thank you. Keep Skateistan rolling.",,"Carol Dysinger
Elena Andreicheva"
2019,Makeup and Hairstyling,Bombshell,"Kazu Hiro, Anne Morgan and Vivian Baker","KAZU HIRO:
Thank you very much. It's a great honor. And we would like to thank members of Academy and director Jay Roach. And Charles Randolph, Bob Graf, Karen Getchell, Beth Kono, A.J. Dix, Michelle Graham and Dave Johnson, and the entire team at BRON Studios and Lionsgate. And the cast and crew and friends and family, for their amazing support. And my mentors, Rick Baker and Dick Smith. And we would like to give our heartfelt thanks to Charlize Theron. You're amazing. You are an amazing actor and producer, and your compassion and love and care made this film possible. And because of your bravery and passion, we are able to set the new bar in the makeup industry and create a new way to tell stories. Thank you very much. We wouldn't be getting this award without you.",,"Anne Morgan
Vivian Baker"
2019,Music (Original Score),Joker,Hildur Guðnadóttir,"HILDUR GUÐNADÓTTIR:
Wow, this is so touching. Thank you, the Academy, for welcoming me so warmly. It's just…I don't know what to say. My fellow nominees, masters of the craft, it's been such an honor to get to know you all, it's been so special. A film composer is only as creative as the dialogue with the director. Todd Phillips was so generous to invite me on this journey and listen to me the whole way so attentively, and I thank you for that so deeply. And Bradley as well. Thank you, Bradley, as well. My family, my beautiful family who are here with me tonight. My incredible husband Sam, my love, my best friend, my other set of ears. I'd be lost without you. My mother, my son Kári, I can't see you but I love you so much. I love you. To the girls, to the women, to the mothers, to the daughters who hear the music bubbling within, please speak up. We need to hear your voices.",,Hildur Guðnadóttir
2019,Best Picture,Parasite,Kwak Sin Ae and Bong Joon Ho,"KWAK SIN AE:
[Via translator:] I'm speechless. We never imagined this to ever happen. We are so happy. I feel like a very opportune moment in history is happening right now. I express my deepest gratitude and respect for all the members of the Academy for making this decision. [In English:] Thank you.

MIKY LEE:
Hi everybody. I really like to thank director Bong. Thank you for being you. And I like everything about him: his smile, his crazy hair, the way he talks, the way he walks, and especially the way he directs. And what I really like about him is his sense of humor. And the fact is he can be really making fun of himself and he never takes himself seriously. Thank you, thank you very much. And I'd like to thank everybody who's been supporting ""Parasite,"" and who's been working with ""Parasite,"" and who's been loving ""Parasite."" And I'd like to thank my brother who's been always supporting our building our dreams, even when it looked impossible dream. Thank you, Jay. I want to thank my brother Jay. And especially, I really, really, really want to thank our Korean film audience, our moviegoers, who's been really supporting all our movies and never hesitated to give us straightforward opinion on what they feel like their movies. And that made us really never be able to be complacent and keep pushing the directors, the creators, keep pushing the envelopes. And without you, our Korean film audience, we are not here. Thank you very much. Thank you.",,Kwak Sin-ae
2019,Production Design,Once Upon a Time...in Hollywood,"Barbara Ling, Nancy Haigh","BARBARA LING:
Thank you to the Academy. And thank you and we share this with our incredible art department and my partner in crime, decorator Nancy Haigh. And mostly to Quentin Tarantino, for writing an epic masterpiece and letting us take this wild ride with him. Thank you.

NANCY HAIGH:
A huge shout-out to all the people that helped put us here tonight: the craftsmen, the construction guys, the painters, our prop master Chris Call. And of course my gang: Mark and Sara and Jonesy and Adam and everybody. I appreciate it so much.",,"Barbara Ling
Nancy Haigh"
2019,Short Film (Animated),Hair Love,Matthew A. Cherry and Karen Rupert Toliver,"KAREN RUPERT TOLIVER:
Thank you so much to the Academy and everybody out there that supported this film. There were lots of you. We share this award with you. There were so many filmmakers that worked so hard on this, and it was a labor of love. And it was because we have a firm belief that representation matters deeply, especially in cartoons. Because in cartoons that's when we first see our movies, and it's how we shape our lives and think about how we see the world. So I want to thank Sony Pictures Animation, who were the progressive people that believed in us from the beginning: Kristine Belson, Jeff Korchek. Thank you to Lion Forge Animation, to Six Point Harness and to Matthew Cherry. Thank you to my beautiful husband, my son[s] Chase and Miles, for believing in me. Thank you so much.

MATTHEW A. CHERRY:
So we have a big team that we have to thank but time is running short, so I just want to say that ""Hair Love"" was done because we wanted to see more representation in animation. We wanted to normalize black hair. There's a very important issue that's out there; it's the Crown Act. And if we can help to get this passed in all 50 states it will help stories like DeAndre Arnold's, who's our special guest tonight, stop to happen. This award is dedicated to Kobe Bryant. May we all have a second act as great as his was. Thank you.",,Karen Rupert Toliver
2020,Actress in a Leading Role,Nomadland,Frances McDormand,"FRANCES McDORMAND:
Look, they didn't ask me, but if they had I would've said karaoke. Because when you've got voices like Leslie and Marcus and – that we should've had a karaoke bar, okay?

""I have no words. My voice is in my sword."" We know the sword is our work, and I like work [laughs]. Thank you for knowing that, and thanks for this.",,Frances McDormand
2020,Actress in a Supporting Role,Minari,YUH-JUNG YOUN,"YUH-JUNG YOUN:
Mr. Brad Pitt, finally, nice to meet you. Where were you while we were filming in Tulsa? Is very honor to meet you. As you know, I'm from Korea and actually my name is Yuh-Jung Youn and most of European people call me [pronounced] Yuh-Yung and some of them call me [pronounced] Yoo-Jung. But tonight, you are all forgiven. And well, I would usually when I'm living in the other part of the world, I just watch the television. It is the Oscar, but, event on the television, just watching, like a television program for us. But me being here by myself, this I cannot believe. I'm here. Okay, let me pull myself together.

Thank you for the tremendous thanks to the Academy members who vote for me. And next [in the] speech, okay, they usually say, okay, thank you for the [laughs]... wonderful ""Minari"" family. Steven, Isaac, Yeri, and Noel, Alan. We became a family. And most of all, above all, Lee Isaac Chung. Without him I couldn't be here tonight. He was our captain and my director. So thanks to you. Tremendous thanks to you.

And I like to thank to – well, see, I don't believing in competition. How can I win Glenn Close, win over Glenn Close? I've been watching her so many performances. So, this is just, all the nominee, five nominees, we are the winner for the different movie, different role. We played the different role. So we cannot compete each other. Tonight I'm here. It's just I have just little bit luck, I think, maybe. I'm luckier than you. And also, maybe, is American hospitality for the Korean actor? I'm not sure. But anyway, thank you so much. And I like to thank to my two boys, who made me go out and work. Beloved sons, Eol and Nuel, this is the result [holds up the Oscar] because Mommy work so hard. And I like to dedicate this award for my first director, Kim Ki-young, who was very genius director. I made the movie together with him, first movie. I think he would be very happy if he's still alive. Thank you very much. Tremendous thank you for the everybody. Thank you.
",,Yuh-Jung Youn
2020,Animated Feature Film,Soul,Pete Docter and Dana Murray,"PETE DOCTER:
Wow, okay, I've been nominated to speak on behalf of Dana and Kemp Powers, our co-director. This film started as a love letter to jazz, but we had no idea how much jazz would teach us about life. Like we don't get to control what happens but we can, like a jazz musician, turn whatever happens into something of value and something of beauty. And that was certainly true of our amazing cast. Jamie Foxx, Tina Fey, you guys are amazing. Our brilliant collaborators, Trent Reznor and Atticus Ross, Jon Batiste, this guy over there [pointing to Questlove], it was just fantastic working with all you guys. Our cultural consultants, Dr. Johnnetta Cole, people who kept us honest and keep those characters truthful. We're really thankful to our partners at Disney who, when we said: Hey, we want to do a film that explores the purpose of life. They're like: Okay, go ahead. That's not your usual cartoon fare. And of course, to our family. Dana wants to thank…

DANA MURRAY:
My amazing husband, my parents, I'm here because of you. I love you so much. Hazel and Murray, my babies at home, you're everything to me. We obviously have to think of the crew who made this film and even finished it from home with seven weeks of production left. You are, you should be up here with us, and we are just the lucky speakers. I'm not supposed to be speaking actually.

PETE DOCTER:
So our main character, Joe, is a music teacher. We want to thank music teachers and art teachers everywhere. You – including my parents Dave and Rita and Dana's parents Pam and Tom – you make the world a better place. And my wish for all of us tonight is that we could follow the example of jazz musicians, that, wherever we are, whatever we have, we turn it into something beautiful. Thank you.",,Dana Murray
2020,Costume Design,Ma Rainey's Black Bottom,Ann Roth," ANN ROTH:
[No speech.]",,Ann Roth
2020,Documentary (Feature),My Octopus Teacher,"Pippa Ehrlich, James Reed and Craig Foster","PIPPA EHRLICH:
Thank you to the Academy. And thank you to all of our incredible nominees who spent so many years and, I presume, a lot of tears making beautiful and important films and bringing them into the world. I'd like to thank Craig Foster and his family, especially Tom and Swati, who opened their hearts and supported us every step of the way, and fed us and allowed their home to become a production company for three years. I want to thank our production partners at Off the Fence, especially Ellen Windemuth and Sam Barton-Humphreys, who believed in this film before it was anything. We want to thank Netflix for enabling us to share our story with the world. And then our incredible ""Octopus"" team, whose arms stretch across the planet from South Africa to Amsterdam to the U.K. to the U.S. Roger and Warren, for beautiful cinematography. Dan and Jinx, for incredible patience and editing. Kevin and Barry and Kyle and all the people at the Refinery. And the incredible Sea Change Project, who's been in the background supporting us the whole way along and caring so much for the Great African Seaforest, which is where the octopus lived. And our friends and family, who put up with years and years of tunnel vision. In many – and I know there are many South Africans who are awake in the middle of the night to watch this ceremony. And in many ways this really is a tiny, personal story that played out in a sea forest at the very tip of Africa. But on a more universal level, I hope that it provided a glimpse of a different kind of relationship between human beings and the natural world.

JAMES REED:
And I don't have a lot to add to that. Pippa covered it very well. And it's a great and totally overwhelming honor to be here and so thank you so much to the Academy. And all the incredible films that were in our category, it's really humbling and amazing. And I'd also like to thank my family: Rosie and Isabel*, and my mum and my two sisters, Jenny* and Janice. I don't think I'd be here today without their sort of level of love and support, so thank you very much. And I think the final extra thank you for Craig, who, while it was such an enormous team making this film in the end, it sort of began and ended with him and it's his story. And he kind of showed us that, you know, if a man can kind of form a friendship with an octopus it does sort of make you wonder what else is possible. So thank you, Craig. And cheers, everyone.",,Pippa Ehrlich
2020,Documentary (Short Subject),Colette,Anthony Giacchino and Alice Doyard,"ANTHONY GIACCHINO:
Thank you to the Academy. I hope the actors in the room don't mind that I have something written down here because there're all different kinds of people in the Academy. Today's Colette's birthday. She was born just 22 days before the very first Oscars in 1929. So I imagine it must have been a, probably about a crowd about this big, right? You know? When she, when we got nominated she told us that, or she reminded us, that the power of documentary filmmaking ensured that her brother Jean-Pierre was, as she put it, no longer lost in the night and fog of the Nazi concentration camp system. And I want to say that I think it's that same power of the documentary storytelling that is going to ensure that the memory, courage and resilience of Latasha Harlins, Horace Bowers, the innocent children of Yemen and the protesters in Hong Kong are not forgotten. I mean, that's why we do this. That's why we make these films, so thank you. Thank you. We're grateful that these stories and these individuals have been honored tonight. And I also would just like to thank, of course, Colette et Lucie. I want to thank our amazing EP Peter Hirschmann at Electronic Arts. Everyone at Electronic Arts and Respawn and Oculus, especially Vince, Dusty and Laura. And our producers Annie Small and Aaron Matthews, thank you so much. To the Guardians, Charlie Phillips, Jess Gormley and Lindsay Poulton, we share this award with you.

ALICE DOYARD:
And I just add something. This award is a tribute and this film is a tribute to woman everywhere in the world, of any ages, who are joining hands and fight for justice. Vive Colette et vive la France.",,Alice Doyard
2020,Makeup and Hairstyling,Ma Rainey's Black Bottom,"Sergio Lopez-Rivera, Mia Neal and Jamika Wilson","MIA NEAL:
I was raised by my grandfather, James Holland. He was an original Tuskegee Airman. He represented the U.S. in the first Pan Am Games. He went to Argentina. He met Evita. He graduated from Northwestern University at a time that they did not allow Blacks to stay on campus, so he stayed at the YMCA. And after all of his accomplishments, he went back to his hometown in hopes of becoming a teacher. But they did not hire Blacks in the school system. So I want to say thank you to our ancestors who put the work in, were denied, but never gave up. And I also stand here, as Jamika and I break this glass ceiling with so much excitement for the future. Because I can picture Black trans women standing up here. And Asian sisters. And our Latina sisters. And Indigenous women. And I know that one day it won't be unusual or groundbreaking, it will just be normal. Thank you to the Academy, to Netflix, to Denzel Washington, to George C. Wolfe, to Ann Roth, to Miss Viola Davis, to Matiki Anoff, to Andrea Resnick, to the spirit of Ma Rainey. Thank you.",,"Mia Neal
Jamika Wilson"
2020,Music (Original Song),Judas and the Black Messiah,"H.E.R. and Dernst Emile II, H.E.R. and Tiara Thomas","H.E.R.:
Oh my god. I did not expect to win this award. I am so, so, so, so grateful. Not only to win but to be a part of such an important, important story. So thank you so much. Thank you to the Academy – I've always wanted to say that. And of course, my collaborators D'Mile and Tiara Thomas, the song wouldn't be what it was without them. Of course I have to thank God for giving us these gifts, and my parents, my beautiful mother who's here with me today and my father at home. All those days of listening to Sly and the Family Stone and Curtis Mayfield and Marvin Gaye, they really paid off. So thank you, Dad. Thank you so much to Archie and Shaka King and everybody that was involved in this movie and gave me the call and gave us the call to do this record. I'm so, so grateful.

I just want to say this. You know, musicians, filmmakers, I believe we have an opportunity and a responsibility, to me, to tell the truth and to write history the way that it was and how it connects us to today and what we see going on in the world today. And yeah, I'm just, I have no words. I'm just so, so, so happy and grateful. And yeah, knowledge is power. Music is power. And as long as I'm standing I'm always gonna fight for us. I'm always gonna fight for my people and fight for what's right, and I think that's what music does and that's what storytelling does. So thank you so much. Thank you.",,H.E.R. & Tiara Thomas 
2020,Best Picture,Nomadland,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey and Chloé Zhao","CHLOÉ ZHAO:
On behalf of my fellow producers, Peter Spears, Mollye Asher, Dan Janvey, and the one and only Frances McDormand, we thank the Academy, and we thank our brilliant fellow nominees. And we thank all the hearts and hands that come together to make this movie: from Searchlight Pictures; Jessica Bruder, who trusted us with her beautiful book; to our brilliant cinematographer Joshua James Richards and to the entire ""Nomadland"" company. We want to show our deepest gratitude to Linda May, Swankie, Bob Wells, and nomadic community, all the people we met on the road. Thank you for teaching us the power of resilience and hope, and for reminding us what true kindness looks like. And now I give you Fern.

FRANCES McDORMAND:
No, I'm not. I'm Fran. Please watch our movie on the largest screen possible. And one day very, very soon take everyone you know into a theater, shoulder to shoulder in that dark space, and watch every film that's represented here tonight. We give this one to our Wolf. [Howls]",,"Frances McDormand
Mollye Asher
Chloé Zhao"
2020,Production Design,Mank,"Donald Graham Burt, Jan Pascale","JAN PASCALE:
It's a long way down here [laughs]. First of all, thank you to David Fincher, Ceán Chaffin and Don Burt for trusting me with this amazing project. I'm just, it was such an honor to work with such an amazing group of people. Thank you to my crew who worked their tails off on this, just to make it right. And you know, when I was young, I never realized that this was a career that was even a possibility. There were so many people that helped me along the way and guided me and I'm so grateful to all of them, and especially to my wife Louise, who inspires me every day. Thank you so much.",,Jan Pascale
2020,Sound,Sound of Metal,"Nicolas Becker, Jaime Baksht, Michellee Couttolenc, Carlos Cortés and Phillip Bladh","NICOLAS BECKER (via live remote from Paris, France):
So, thank you so much for the Academy for recognizing this wonderful film. I'm sorry, my English is not very good so that I'm going to read a bit because I don't want to make problems. So thank you, Darius and Abe, for recognizing this wonderful film – no. Thank you [laughs], Darius and Abe, the true master behind ""Sound of Metal."" Thank you, Sacha and Bert, for your great support. Thank you, Riz, Paul and Olivia, for your amazing performances. To Mikkel, for his collaboration. To Phillip and Jeremy, for their commitments. To Heikki, Kari, Pietu, Yanna, for their creativity. To Carolina, for her brilliance. To Jaime, Michellee and Carlos, top of the notch. On behalf of Phillip, Jaime, Mich, Carlos and I, I thank you: Eric, Michel*, Roseanne, Rosalinda, Sabina, David, Pablo, Victoria, César, Chris, Fannie*, Marta, Orlando, Bruno, Karla, Constance, Anton and Ian. We are five in the team, that's why it's a bit long.

So now I would like to say something more personal. Fellini once said, in the history of cinema, beyond the evolution of styles and techniques, what stays embodied in films is their human vitality. And whoever enjoys it receives a charge of energy, something pulsing, mysterious and vibrant. ""Sound of Metal,"" I received from its team so much care, love and attention, so much energy, that we believe it's one of the reasons why the film has been received by the audience so beautifully. So thank you for that. Thank you very much.",,Michelle Couttolenc        
2020,Writing (Original Screenplay),PROMISING YOUNG WOMAN,Emerald Fennell,"EMERALD FENNELL:
Oh my gosh. They said write a speech and I didn't 'cause I just didn't think this would ever happen. And I'm going to be in trouble with Steven Soderbergh. I'm so sorry. I don't want him to be cross with me. Oh my god, he's so heavy [referring to the Oscar statuette], and he's so cold! I better lay him down. So the only speech I ever wrote was when I was ten. And I had a look to see if there'd be anything useful from it, but unfortunately it mostly thanked Zack Morris from ""Saved by the Bell,"" who was my very supportive husband. Unfortunately, he hasn't been as much a part of my life as I'd hoped, and so that speech is not that useful.

But all I can say is – I'm trying very hard not to cry, which is very difficult as an English person because you don't cry ever. This film was made by the most incredible people in the world, who made it in 23 days, just, and brought their complete genius and love and humor to it. And I have so many people to thank. I feel mortified that I'm here by myself when it's not just my job at all. I want to thank Carey Mulligan for being not only the most talented person in the world, but the kindest and the funniest. I want to thank the producers for standing behind this film always and, you know, never giving up. And LuckyChap, Focus, FilmNation. The cast and the crew, the greatest in the world, the kindest in the world. They just made me look good, and again, I'm just so grateful. Finally, my family: Mum, Dad, Coco, my husband Chris – come on, come on – our son, who did not arrive until a couple of weeks after shooting. Thank god, because I was crossing my legs the whole way through. So thank you all so much. Steven, I hope that was alright. Thank you.",,Emerald Fennell
2021,Actress in a Leading Role,The Eyes of Tammy Faye,JESSICA CHASTAIN,"JESSICA CHASTAIN:
Thank you. Oh, my gosh, you guys. Okay. All right. So, wow, thank you so much to the Academy for this. I definitely would not be up here right now, I probably wouldn't even have a career, if it wasn't for Hylda Queally, Paul Nelson, Steve Warren and Nicole Perna. I love you guys; thank you very much. I just have to say your guys's names because I love you. Kristen, Nicole, Penélope, Olivia, I love guys so much, and to be included in the conversation with you is such an honor. I have to thank Michael Showalter, my director, who created a space that inspired creativity and love and courage. The incredible hair and makeup team, Linda, Stephanie, Justin, who really helped me find her. Producers Kelly Carmichael, Rachel Shane, Gigi Pritzker. I have to thank David Greenbaum, Matthew Greenfield, all of Searchlight, for shepherding our film. My scene partner and collaborator, Andrew Garfield -- the brilliant Andrew Garfield. Thank you so much for bringing out the best in me by showing up every day with the best of you. Thank you.

And right now we are coming out of some difficult times that have been filled with a lot of trauma and isolation. And so many people out there feel hopelessness and they feel alone. And suicide is a leading cause of death in the United States. It's touched many families; it's touched mine. And especially members of the LGBTQ community, who oftentimes feel out of place with their peers. There is -- we're faced with discriminatory and bigoted legislation that is sweeping our country with the only goal of further dividing us. There's violence and hate crimes being perpetuated on innocent civilians all over the world. And in times like this I think of Tammy, and I'm inspired by her radical acts of love. We've talked about love a lot tonight. And I'm inspired by her compassion and I see it as a guiding principle that leads us forward. And it connects us all in the desire that we want to be accepted for who we are, accepted for who we love, and to live a life without the fear of violence or terror. And for any of you out there who do in fact feel hopeless or alone, I just want you to know that you are unconditionally loved for the uniqueness that is you. Mio tesoro, Giulietta, Augustus. You are my heart. And I thank you all very, very much. Thank you.",,Jessica Chastain
2021,Actress in a Supporting Role,West Side Story,ARIANA DEBOSE,"ARIANA DeBOSE:
Oh, my god. Yikes. Okay. Oh, my word. You know what? [Holding up the Oscar:] What is this?! You know what, now you see why that Anita says, ""I want to be in America."" Because even in this weary world that we live in dreams do come true. And that's really a heartening thing right now.

If I took the time to say thank you to every single beautiful person who has lifted me up on this stage you'd find people would be sitting here until next Oscars, so I'm not going to do that. But just allow me to say that it was the summer of a lifetime and I am the most privileged and grateful to have spent it with all of you. My god, thank you, Steven Spielberg; you're stuck with me now. Yay! Thank you, Kristie Macosko Krieger and Tony Kushner and the divine inspiration that is Rita Moreno -- you are staring at me right now. And I'm so grateful. Your Anita paved the way for tons of Anitas like me. And I love you so much.

I'm gonna wrap this up and talk about my family. My mother, who is here tonight. Mama, I love you with my whole heart, and this is as much yours as it is mine. Some of my tribesmen, my family: my love Sue, Jonathan, Diana, Anthony Calamita. I couldn't do what I do without each and every one of you. So, lastly, imagine this little girl in the backseat of a white Ford Focus. Look into her eyes. You see a queer, openly queer, woman of color, an Afro-Latina, who found her strength in life through art. And that's what I believe we're here to celebrate. Yeah! Yeah! So, to anybody who has ever questioned your identity -- ever, ever, ever -- or you find yourself living in the gray spaces, I promise you this: There is indeed a place for us. Thank you to the Academy and thank you all.",,Ariana De Bose
2021,Animated Feature Film,Encanto,"Jared Bush, Byron Howard, Yvett Merino and Clark Spencer","YVETT MERINO:
Hi. Thank you to the Academy. Thank you. It is -- I am so proud to be a part of a film that puts beautiful, diverse characters in front and center, and that people everywhere are seeing themselves in the film.

BYRON HOWARD:
We have some key people to thank. Our ""Encanto"" music department led by the incomparable Lin Manuel Miranda and Germaine Franco. And our superhero, our strength, Charise Castro Smith, our co-director, the heart of the Madrigal family.

CLARK SPENCER:
And everyone at the Walt Disney Animation Studios. This film only exists because of your talent and your passion. Jennifer Lee and Alan Bergman, for championing this film from the very beginning.

JARED BUSH:
And we have to thank the entire country of Colombia, our amazing cast. This is a movie about family and we would not be here without our family, so I want to thank my wife Pam, my kids, Merrick, Emmitt, and Hewitt.

CLARK SPENCER:
My parents, Donn and Adrien.

BYRON HOWARD:
Shephard, my husband. My family on both coasts. My dad. I miss you

YVETT MERINO:
And my husband Rafael and Felix and Noemi. Bye.

ALL:
Thank you!",,Yvett Merino
2021,Costume Design,Cruella,Jenny Beavan,"JENNY BEAVAN:
[Holding up the Oscar:] Team ""Cruella."" Go team ""Cruella."" Now if you heard the really embarrassing noises it was probably my family who are somewhere up there, who supported me through this extraordinary experience. Which had massive amounts of fun, as you can see, but also, it was slightly stressful. The only one I'm missing is my darling son-in-law David, who used to give me good advice at the end of every day but is no longer with us. Anyway, [looking down at her outfit] I just thought I should explain -- it obviously didn't go down well last time. This is honoring my inner Cruella: a little bit of Maddy Moxham, Random Lapel, Tom Davies eyewear, Thom Botwood graffiti.

And I have to tell you when Kristin Burr and Craig Gillespie asked me to do this movie, I truly didn't think we had the time. I mean, I actually nearly said no. Glad I didn't. The only reason I didn't was because Clare Spragge -- who's sitting just there, sparkling -- said she would come on board as costume supervisor and bring the team. The team of the most phenomenal, creative, clever, generous, amazing people, I mean, without whom obviously it wouldn't have happened. And I also need to thank Nadia and Naomi and Julia, our makeup and hair team, because they complete the looks. I mean, you know, it would be a little sad putting a Cruella costume in my hair. But also, the actors who just brought such life. I think Emma Thompson hyperventilating over some of her fittings with joy was one of the highlights of my career.

Anyway, I think that's all. [Paging through her show program:] I kind of, of course left the thing in the car and had to write it all on here. But I think I've probably -- people have made such wonderful speeches. But the lovely thing I think about a film like ""Cruella"" is it does bring a bit of fun and joy in these terrible times, which others have mentioned. [Music begins to play.] But, you know, it -- it was great to do. And thank you, Academy. Thank you, thank you, thank you.",,Jenny Beavan
2021,Makeup and Hairstyling,The Eyes of Tammy Faye,"Linda Dowds, Stephanie Ingram and Justin Raleigh","LINDA DOWDS:
First of all, you just saw that we are in a group of incredible nominees, and everybody took a moment to celebrate all of us and each of us before we stepped up here. And I so love that is the true spirit of what these awards are about. I want to thank the Academy, our branch managers, our biggest and most dedicated collaborator Jessica Chastain, Freckle Films, Searchlight Pictures. It does take a village. We had incredible teams. We'd like to thank our North Carolina teams. Fractured FX, their entire team who did all of the effects makeup through Justin. And I also want to say that there are tens of thousands of crafts people just like us, who are below the line, who come into work every day and work long and hard and who never get the opportunity to have this kind of recognition. And I just hope that each and every day, that on set, everyone takes a moment to just look around and look at all those talented people who work so hard to make beautiful films with all of you, so. Thank you so much everybody. This means so much. Thank you.

JUSTIN RALEIGH:
Thank you very much.

STEPHANIE INGRAM:
Thank you.",,"Linda Dowds
Stephanie Ingram"
2021,Music (Original Song),No Time to Die,Billie Eilish and Finneas O'Connell,"BILLIE EILISH:
Whoa! Oh, my god! You guys! Oh, my gosh. This is so unbelievable I could scream. Thank you to our 007 family: Barbara Broccoli, Michael G. Wilson, MGM, Cary Fukunaga, Daniel Craig. To Hans Zimmer, who's not here but is so amazing. Stephen Lipson. Johnny Marr, for taking our song and making it worthy of James Bond. Our managers, Danny, Brandon and Laura, we love you so much. And thank you to Tony Seyler. We love you.

FINNEAS O'CONNELL:
Lastly, we want to thank our parents who have always been our biggest inspirations and our heroes. And we love you as parents and we love you as real people, too. Thank you so much to the Academy. We promise not to lose these.",,Billie Eilish 
2021,Production Design,Dune,"Patrice Vermette, Zsuzsanna Sipos","PATRICE VERMETTE:
Ever since I can remember I was with my parents and we were watching the Oscars, and that night, that Sunday, Oscar night, was the night that we could actually stay out late. Well, maybe Christmas was the other thing, but... Denis, thank you for allowing us to dream and thank you for being a great friend. I owe this to you, thank you. Obviously production design is a, it's a big team, so I've got great artists also working with me: Tom Brown, my supervising art director; Zsuzsie, obviously, right? Deak Ferrand, George Hull, Colie Wertz, and Karl Probert, and the whole team in Budapest. It was an extraordinary journey to do this, and I'm super happy that we're doing it again. So, thank you so much.

ZSUZSANNA SIPOS:
I'm such a crybaby, I'm sorry. It means an awful lot. And I just want to thank everyone, my team and everyone who participated, and for the opportunity. Köszönöm, thank you.

PATRICE VERMETTE:
Martine, je t’aime à la folie; Arnaud; and a special thank you to Jean-Marc Vallée, my friend.",,Zsuzsanna Sipos
2021,Writing (Adapted Screenplay),CODA,Siân Heder,"SIÂN HEDER:
Oh, my god. I'm so glad I dressed as a disco ball. Oh, my god. This was an independent film, and it was incredibly hard to get made. So I want to thank my team, Doug. I want to thank my producers, all of you, for believing in me and how I wanted to make this movie. I want to thank Sundance for starting this journey. I want to thank Apple for being amazing partners on this ride. Writing and making this movie was truly life changing as an artist and as a human being. I want to thank all of my collaborators in the deaf community and the CODA community for being my teachers. Anne and Alexandria, for bringing my words to life in this beautiful cinematic language. I want to thank my entire crew, I think I want to name you all: Paula, Geraud, Marius, Nick, Dave, Joe -- oh, my god -- Diane, all of you. My incredible cast: Emilia, Marlee, Troy, Daniel, Eugenio, Ferdia, Amy. You guys are incredible. You're my family. And I want to thank my real-life family. My mom and dad are here, somewhere up there. My sister Thyra. You guys are artists. You made me an artist. You made me make things. My husband David, I couldn't do this without you. It's so hard to be a director and a mom, and you make it possible. And my kids, Niko and Milo, I love you guys so much. I love you forever. [Turning to the ASL interpreter on stage with her:] And Heather! And Heather!",,Sian Heder
