Year,Category,Winner,Speech
2014,Best Picture,"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers (accompanied on stage by 10 members of the cast and crew)"," ALEJANDRO G. IÑÁRRITU:
I don't want to talk. Oh my god, they want me to talk because I am the worst English-speaking guy here. Maybe next year the government will inflict some immigration rules to the Academy. Two Mexicans in a row, that's suspicious, I guess. I want to thank so many people that I forgot. [Unintelligible] Arnon, Brad Weston, again I thank you very much for believing in this crazy idea. All the people that were behind this film was really heroes because the idea was really crazy. A script that start with a middle-aged man, interior dressing room, cross-leg, floating, can go anywhere. And we are here. I don't know how that happened, but it happened. And, anyway, I just really want to thank anybody – everybody.

JOHN LESHER:
And I want to thank Christina, my kids, Emma and Joe. I want to thank our agents, Bryan, Roeg, Beth, everyone who helped get this movie made. It's amazing.

ALEJANDRO G. IÑÁRRITU:
[Emmanuel Lubezki whispers into his ear] He's reminding me my wife [laughs!]. Maria, I love you. You know that, okay. We said that every morning when we wake up. Honestly, and my kids, but anyway. There are so many people to thank. I want to thank Tess Gallagher, which is the widow of Raymond Carver, who allow us to use the Raymond Carver story, which is incredible. I want to thank Guillermo del Toro and Alfonso Cuarón, as I mention already, because they have been part of, these two, all my life and my career. And [turning to the group behind him] I don't know if you have something to say. I just want to take the opportunity – Michael. I want to say Michael and all the cast, but Michael was the guy who really, really – Michael, come.

MICHAEL KEATON:
This has been a tremendous experience. This guy's as bold as bold can be. And it was just a tremendous honor for me to – look, it's great to be here. Who am I kiddin'? This is just great fun. Thank you very much.

ALEJANDRO G. IÑÁRRITU:
Finally, finally, I just want to, I want to take one second. I just want to take the opportunity. I want to dedicate this award for my fellow Mexicans. The ones who live in Mexico, I pray that we can find and build the government that we deserve. And the ones that live in this country who are part of the latest generation of immigrants in this country, I just pray that they can be treated with the same dignity and respect of the ones who came before and built this incredible immigrant nation. Thank you very much.
"
2014,Writing (Original Screenplay),"Written by Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Jr. & Armando Bo"," ALEJANDRO G. IÑÁRRITU:
Wow. The journey of ""Birdman"" start three years ago when I ask Nico, Armando and Alexander to follow me in a crazy idea. And because they are crazy, they did it and we wrote together ""Birdman."" And for that I am all my life grateful and thankful for that, to share this experience with them. We want to thank our incredible cast: Emma, Naomi, Andrea, Amy, Lindsay, Mr. Norton, Zach and the maestro of maestros, Mr. Michael Keaton – woof – for making this film fly. Without you guys we would not be here. James Skotchdopole, John Lesher, the producers. And I want to thank, too, obviously, the great support from Arnon Milchan, Brad Weston from New Regency and all the team on Fox Searchlight, Nancy Utley – god, um, um, um, um – Claudia Lewis and Steve Gilula and all the people to help us. Really, thank you very much for all the audience to see this crazy film. My kids Eliseo, Maria Eladia, my wife Maria Eladia. Thank you very much for all. Thank you. This award [applause begins] – wait, wait! Family time!

ALEXANDER DINELARIS, JR.:
Nyla, Amalia and Aleyna, my daughters, who are my reason.

NICOLÁS GIACOBONE:
Titi, Adrián, Clari, Mariana, our dog Larry.

ARMANDO BO:
Victor, Chía, que están allá arriba en el cuarto piso, Luciana, Amador y Torino, and toda la Argentina.
"
2014,Honorary Award,"To Hayao Miyazaki, a master storyteller whose animated artistry has inspired filmmakers and audiences around the world."," HAYAO MIYAZAKI (via translator):
My wife tells me that I'm a very lucky man. And I think I've been lucky because I've been able to participate in the last era when we can make films with paper, pencil, and film. Another fact of luck is that my country has not been at war for the fifty years that I have been making films. Of course we've profited from wars, but we're very fortunate that we have not had to go to war ourselves. But my greatest luck is that I've been able to meet Miss Maureen O'Hara today. So I've been so happy and feel so blessed with luck in my life. Thank you.
"
2015,Cinematography,Emmanuel Lubezki," EMMANUEL LUBEZKI:
Academy, thank you so much. This is incredible. I want to share it with the cast and crew, especially with my compadre, Mr. Iñárritu. To your passion, Alejandro. And I want to share this also with Leo and Tom, for their great performance. All the producers, New Regency and Fox for all the freedom and the support. My wife Lauren, Ale, Dani, I love you so much. Daniela, happy birthday. To my parents, my friends. And to all the cinematographers that were nominated with me, I admire you so much. I love your work. Alejandro, thank you so much.

=============================

Thank you scroll (as it appeared on the live broadcast):
Emmanuel Lubezki would like to thank: Cast, Crew, Lauren Strogoff, Ale Lubezki, Dani Lubezki !!! Happy Birthday!!! Muni, Raquel, Alejandro, Pola, Family, Friends, Teachers, Alejandro Iñárritu, Leo, Tom, John Connor, Ray Garcia, Scott Sakamoto, Arthur To, Steve Scott, Perry Burrell, Mary Parent, Steve Golin, Jim Skotchdopole, Brad Weston, Arnon & Yariv Milchan, Stephen Mirrione, Jack Fisk, Jacqueline West, Elissa Loparco, Siân Grigg, Rich and Ivy VFX, New Regency, Fox, Paul Hook, Ann Murphy, Steve Jacob, Jenna Giacomelli, Strogoffs, CUEC, MEXICO!!!, ASC, The Beatles!, Happy Birthday Dani!!!
"
2015,Music (Original Score),Ennio Morricone (accompanied on stage by son Giovanni)," ENNIO MORRICONE:
[Morricone spoke in Italian, which was translated on stage by his son Giovanni.]
Thank you, the Academy, for this prestigious acknowledgement. My tribute goes to the other nominees, and in particular to the esteemed John Williams. There isn't a great soundtrack without a great movie that inspires it. I want to thank Quentin Tarantino for having chosen me, Harvey Weinstein and the entire team who made this extraordinary film. I dedicate this award to my wife Maria, who is there watching me. Thank you.
"
2015,Writing (Adapted Screenplay),Screenplay by Charles Randolph and Adam McKay," ADAM McKAY:
Thank you so much to the Academy. Also thank you to Michael Lewis for writing an amazing book that inspired Charles and I so much. Thank you to Paramount for taking a risk on a movie that's about financial esoterica and believing in it. Thank you to my beautiful wife Shira Piven – there she is. And my children, Lili Rose, my two daughters, Lili Rose and Pearl, I love you so much. Most of all, if you don't want big money to control government, don't vote for candidates that take money from big banks, oil or weirdo billionaires: Stop!

CHARLES RANDOLPH:	
Thank you very much to Plan B. Thank you very much to Paramount. To my wife Mili, ani ohev otach, Mili. To my kids, I am so happy to be your father. Thank you.

=============================

Thank you scroll (as it appeared on the live broadcast):
Charles Randolph & Adam McKay would like to thank: Brad Grey, Rob Moore, Marc Evans, Geoff Stier, Megan Colligan, Jimmy Miller, Ari Emmanuel, Cliff Roberts, Kevin Messick, Robyn Wholey, Fred McKay, Sarah Imperato, Colleen Goddard, the late great Del Close, Charna Halpern, Gary Sanchez, Margaret Riley, Rowena Arguelles, Nancy Jones and Craig Emmanuel. David Beaubaire. Henry Finder. The gentlemen of BNO: Malcolm Gladwell, Bruce Headlam, Stephen Sherrill, Jacob Weisberg and the good people of Hudson, Tivoli and Millerton, NY.
"
2015,Writing (Original Screenplay),Written by Josh Singer & Tom McCarthy," JOSH SINGER:
We've got to thank Open Road.  We've got to thank Participant. We've got to thank our wonderful producers: Michael Sugar, Nicole Rocklin, Blye Faust, Steve Golin. We've got to thank our wonderful cast and crew from Boston and Toronto. My wife who, Laura Dave, makes me a better writer every day and makes me a better human every day. And  my father Bruce Singer, who taught me how to dream.

TOM McCARTHY:
Thank you very much, Academy. We made this film for all the journalists who have and continue to hold the powerful accountable, and for the survivors whose courage and will to overcome is really an inspiration to all. We have to make sure this never happens again. To Rhonda Price, the Gersh Agency, Andrew Hurwitz. To my beautiful wife Wendy, Nora, Vivian, my family and all our friends, we thank you. This one's for you, Geno; we love you. Love you, Mom and Dad.

=============================

Thank you scroll (as it appeared on the live broadcast):
Tom McCarthy would like to give a special thanks to: McCarthy's: Wendy, Nora, Vivian, Mom, Dad, Jay, John, Amy, Jack, Emily, Molly, Owen, Bill, Sue, Andrew, Matt, Tommy. To Duttenhofers: Meg, Steve, Katie, Sarah, Lucy, Jack. To Merry's: Leslie, Alan, Adam, Liz. Father Mike, Rhonda & Andrew H. Josh Singer would like to thank: Phil, Joe, Jim, Patrick, Robby, Mike, Sacha, Matt, Ben, Marty, Jamie, Ari, Tom, Jeff, Phil, Dave, Steve, Sug, Bard, The WW gang, Sam, Dusty, Heather, Mike, Bill, Jon, Allen, Mark, Niko, Noah, Daddio, Singers, Steins, Daves & my love Laura Dave.
"
2016,Actor in a Supporting Role,Mahershala Ali," MAHERSHALA ALI:
[Buttoning his jacket] My grandma would want me to button up. Wow. I want to thank my teachers, my professors. Have so many wonderful teachers. And one thing that they consistently told me – Zelda Fichandler, Ron Van Lieu, Ken Washington – is that it wasn't about you. It's not about you. It's about these characters. You are a servant, you're in service to these stories and these characters, and I'm so blessed to have had an opportunity. It was about ""Juan."" It was about ""Chiron."" It was about ""Paula."" The cast and crew was just such a wonderful experience. Thank you, Barry Jenkins. Thank you, Tarell Alvin McCraney. Adele Romanski, who forced Barry to cast me. [Laughs.] No, but it's just such a wonderful experience and I have so many people to thank who've gotten me here. My manager Carolyn Govers, who I've been with for 10 years. Just thank you so much. And the rest of the cast who did wonderful work, any one of them could be up here right now holding this trophy. It's such a gift getting to work with you and be inspired by you and the performances that you all offered up. So thank you, the Academy. Really appreciate this. And lastly, I just want to thank my wife who was in her third trimester during awards season. We just had our daughter four days ago. So, I just want to thank her for being just such a soldier through this process, and help, and really carrying me through it all. So thank you. Really appreciate it. Peace and blessings.
"
2016,Film Editing,John Gilbert," JOHN GILBERT:
Wow. Unbelievable. An editor needs good material, and the story of Desmond Doss and his courage and selflessness was as good as you get. So that was a great start for me. I want to thank my team in Australia: Carly Turner, Kathy Freeman, I hope you're watching. Bill Mechanic, for supporting me and introducing me to Mel. Mel, I had a fabulous time working on this film with you, and you're a great director, and I hope there's plenty more where this came from. My wife, my wife Karen over there; I couldn't do this without you, my love. Up there's my – Max and Lily, where are you? Yep. And Lucia and Amelia back in New Zealand, I hope you're watching. Thank you very much. I appreciate this so much.
"
2016,Makeup and Hairstyling,"Alessandro Bertolazzi, Giorgio Gregorini and Christopher Nelson"," CHRISTOPHER NELSON:
Do you want to talk?

ALESSANDRO BERTOLAZZI:
Yes. Thank you so very [Nelson laughs] – yeah, I want to talk. I have to talk. I waited for 50 years to talk. Probably a little bit more. So, by the way, thank you, Academy, for make this all possible. Academy is not support, is not just Oscars, is everything, support the movie, support beautiful people. Of course, thank you very much of the my great team. Thank you to Marta. Thank you of course my lovely wife Giovanna, who support me for all my life and my son for [unintelligible]. What can I say? Thank you very much. And the last thing, this is for... I'm an immigrant. I come from Italy. I work around the world and this is for all the immigrants. For the immigrants.

CHRISTOPHER NELSON:
Thank you everybody. Thank you, David Ayer. Thank you, Greg Nicotero, KNB, Sean Sansom, everybody. Thank you so much.

GIORGIO GREGORINI:
Thank you so much to all of you. I'm so happy for this one and I want to dedicate this for to my wife, that she pass away, she cannot be with me now. Thank you so much to everybody. And to David Ayer. Thank you.
"
2016,Music (Original Song),Music by Justin Hurwitz; Lyric by Benj Pasek and Justin Paul," JUSTIN HURWITZ:
Alright, I'm really quickly try to make a lot of people feel really good: Erik Feig, James Myers, Amy Dunning, Ryan Svendsen, Lenny Wohl, Tim Palen, Julie Fontaine, Kristin Kirkland*, Jen Peterson, Naomi Norrie*, Lisa Taback, Al Vertullo*, Amos Newman, Keith Zajic, Glen Brunman, the whole music team: Marius, Steve, Nick*, Jason, Eldad and Tony Seyler.

JUSTIN PAUL:
Thank you to Justin for your beautiful and glorious music. Thank you to Damien; you inspired every single word that we wrote. For me, I want to thank my wife, my little girl at home, my family who's here. Thank god for you guys. I was educated in public schools where arts and culture were valued and recognized and resourced. I'm so grateful to all my teachers who taught so much and gave so much to us.

BENJ PASEK:
I want to thank our producers, Marc, Fred and Jordan. My god, I'm actually freaking out right now! I want to thank Richard Kraft and Joe Machota. I want to thank my mom, who is amazing and my date tonight. And she let me quit the JCC soccer league to be in a school musical. So this is dedicated to all the kids who sing in the rain and all the moms who let them. Thank you very much. I love you, Mom.
"
2016,Best Picture,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers (Gardner not present; accompanied on stage by director Barry Jenkins and members of the cast and crew)"," [The winner envelope for the wrong category was handed to presenter Warren Beatty. The following transcript includes everything that came next.]

WARREN BEATTY:
[0:00] And the Academy Award [looks down at envelope…] for Best Picture…

FAYE DUNAWAY:
[off mic: You're impossible.]

WARREN BEATTY:
[Offers envelope to Faye Dunaway.]

FAYE DUNAWAY:
[off mic: Come on.] [Takes envelope.] ""La La Land.""

[0:16] [The orchestra starts playing music from ""La La Land.""]

WARREN BEATTY:
[off mic: It says for Emma Stone.]

FAYE DUNAWAY:
[off mic: What?]

[As the music continues to play, announcer voiceover lists Oscar factoids for the film while the nominated producers and cast and crew from ""La La Land"" make their way to the stage.]

JORDAN HOROWITZ (Best Picture nominee, ""La La Land""):
[0:37] Thank you. Thank you all. Thank you to the Academy. Thank you to Lionsgate. Thank you to our incredible cast and crew who are all up here right now. Thank you to Jamie Feldman, to Gary Gilbert. Thank you to my parents for supporting my choice to pursue a career in the arts even though it was a little bit crazy. Arthur Horowitz, you are my fantasy baby. And to my kind, generous, talented, beautiful, blue-eyed wife and creative partner, Julia Hart, you have inspired me to become the man I am right now, and more importantly the man I'm still becoming. There's a lot of love in this room, and let's use it to create and champion bold and diverse work, work that inspires us towards joy, towards hope, and towards empathy.

MARC PLATT (Best Picture nominee, ""La La Land""):
[1:32] Here's to the fools who made me dream: my uncle Gary Platt; my mentor Sam Cohn; my parents; my children; my wife, Julie, on whose shoulders I've stood for 40 years, because she insisted I reach for the stars. And to the Hollywood community that I'm so proud to be a part of, and to the Hollywood in the hearts and minds of people everywhere, [behind Platt, a production crew member is showing the other two producers the correct winner card] repression is the enemy of civilization. So keep dreaming, because the dreams we dream today will provide the love, the compassion and the humanity that will narrate the stories of our lives tomorrow. Fred?

FRED BERGER (Best Picture nominee, ""La La Land""):
[Shakes his head ""no,"" then steps up to the microphone.]
[2:07] To the love of my life, Ali Loewy, I'm up here because of you. I love you so much. To my family, mama, papa, Jeff [unintelligible]. Matt Plouffe, you kicked this off. And Damien Chazelle, we're standing on your shoulders. [Turns around to look at the chaos behind him, then turns back as Warren Beatty begins to approach the microphone.] We lost, by the way. But, you know. There's a mistake.

JORDAN HOROWITZ:
[2:22] [Walking to the microphone; Beatty tries to wave him off so he can speak.] You know what? Guys, guys, I'm sorry, no. There's a mistake. ""Moonlight,"" you guys won Best Picture.

MARC PLATT:
[off mic:] ""Moonlight"" won.

JORDAN HOROWITZ:
[off mic, walking toward the cast and crew of ""Moonlight"" sitting in the front of the audience:] This is not a joke. Come up here [waves his hand for them to come up].

MARC PLATT:
[at the microphone:] This is not a joke. I'm afraid they read the wrong thing.

JORDAN HOROWITZ:
[back at the microphone:] This is not a joke. ""Moonlight"" has won Best Picture.
[Beatty pulls the winner card out of the correct envelope, which he now has in hand: Horowitz takes the card and holds it up for the camera.] ""Moonlight,"" Best Picture.

JIMMY KIMMEL (ceremony host):
[off mic:] I think you guys should keep it anyway... Oh, it's Warren, I'm sorry.
[at the microphone:] Guys, this is very unfortunate what happened. Personally, I blame Steve Harvey for this. [To Horowitz:] I would like to see you get an Oscar anyway. Why can't we just give out a whole bunch of 'em?

JORDAN HOROWITZ:
[holding the Oscar given to him] I'm gonna be really proud to hand this to my friends from ""Moonlight.""

JIMMY KIMMEL:
That's nice of you. That's very nice.

WARREN BEATTY:
[off mic to Kimmel:] May I say something?

JIMMY KIMMEL:
[off mic:] Warren Beatty would like to speak.

WARREN BEATTY:
[Audience is very noisy.] Hello... hello. I want…

JIMMY KIMMEL:
Warren, what did you do?!

WARREN BEATTY:
[laughs] I want to tell you what happened. I opened the envelope and it said: Emma Stone, ""La La Land."" That's why I took such a long look at Faye and at you. I wasn't trying to be funny [laughs].

JIMMY KIMMEL:
Well, you were funny.

WARREN BEATTY:
Thank you very much. [Holds up the winner card.] This is ""Moonlight,"" the Best Picture.

[Cast and crew from ""Moonlight"" have all made their way onto the stage by now; several people from ""La La Land"" are still onstage off to the side, while others have left.]

ADELE ROMANSKI:
[5:25] Thank you.

BARRY JENKINS:
Very clearly, very clearly, even in my dreams, this could not be true. But to hell with dreams, I'm done with it, 'cause this is true. Oh my goodness.

ADELE ROMANSKI:
Thank you, thank you.

BARRY JENKINS:
And I have to say – and it is true, it's not fake – we've been on the road with these guys for so long and that was so gracious and so generous of them. My love to ""La La Land."" My love to everybody. Man.

ADELE ROMANSKI:
Thank you to the Acad—I don't know what to say. That was really... I'm not sure, I'm still not sure this is real. But thank you to the Academy. It is so humbling to be standing up here with hopefully still the ""La La"" crew? No, okay, they're gone. But it's very humbling to be up here. And I think, I hope even more than that, that it's inspiring to people, little black boys and brown girls and other folks watching at home, who feel marginalized and who take some inspiration from seeing this beautiful group of artists, helmed by this amazing talent, my friend Barry Jenkins, standing up here on this stage accepting this top honor. Thank you.

BARRY JENKINS:
There was a time when I thought this movie was impossible because I couldn't bring it to fruition, I couldn't bring myself to tell another story. And so everybody behind me on this stage said, no, that is not acceptable. So I just want to thank everybody up here behind me. Everybody out there in that room – because we didn't do this, you guys chose us. Thank you for the choice. I appreciate it. Much love.

JEREMY KLEINER:
Good night. Thank you so much.

JIMMY KIMMEL:
Well, I don't know what happened. I blame myself for this. Let's remember, it's just an awards show. I mean, we hate to see people disappointed but the good news is we got to see some extra speeches. We have some great movies. I knew I would screw this show up, I really did. Thank you for watching. I'm back to work tomorrow night on my regular show. I promise I'll never come back. Good night.
"
2016,Production Design,Production Design: David Wasco; Set Decoration: Sandy Reynolds-Wasco," DAVID WASCO:
I share this completely with Sandy, my wife and set decorator, whose constant support and talent have elevated my work over the years and added special brightness to ""La La Land."" And Damien, we wouldn't be up here without you. Thank you so much. From our very first meetings together with Linus Sandgren and Mary Zophres, DP and costume designer, when you went through each page of the script with us, right up to the planning of the scenery for the finale and epilogue with Justin's music and Mandy Moore's choreography, you shared your vision with such joy, energy and precision that we couldn't help but have captured it. Thank you for your enthusiasm you shared with us. Thank you.
"
2016,Short Film (Animated),Alan Barillaro and Marc Sondheimer," ALAN BARILLARO:
Honestly, we're only here because of the kind support and mentorship of many. I have to thank John Lasseter, Andrew Stanton, Lindsey Collins, Jim Morris and Ed Catmull. My family: my parents, my wife Nancy, my three little pipers at home who inspired this story, Theo, Cora, Marcello. I love you. And may you always have the courage to face your fears.

MARC SONDHEIMER:
We share this award with everyone who worked on ""Piper."" Thank you so much, especially in light of the great work of our fellow nominees. We are so deeply honored to take this award tonight, accept this award tonight. To my family and friends, I love you. To all of you who enjoyed ""Piper"" out there and wished us well throughout, thank you so much.
"
2016,Short Film (Live Action),Kristof Deák and Anna Udvardy (accompanied on stage by choreographer Nina Kov and actress Zsófia Szamosi)," KRISTOF DEÁK:
Thank you, thank you so much to the Academy for this incredible award. I have to be quick, and there are a lot of people to thank. Firstly, my family and my teachers, who raised me and taught me how to be a good person. And my wife, as well. And on behalf of Anna as well, my wonderful cast and crew. And this is dedicated to the only people who can basically make the world a better place for us: kids. So let's try and raise them in a good way, try and raise them in a way we can be proud of them. Thank you.
"
2016,Sound Mixing,"Kevin O'Connell, Andy Wright, Robert Mackenzie and Peter Grace"," KEVIN O'CONNELL:
Oh my gosh. Guys, thank you so much, I can't even tell you what this means to me. It means so much to me. My boys Cooper and Casey are up in the audience tonight watching me; my wife Heather's over there. This means so much to me I can't even tell you. Mel Gibson, thank you so much for taking us on this journey with you. Bill Mechanic, thank you for making this possible. Rob, Andy and Peter, you guys are amazing, thank you so much. I'd like to thank Tom McCarthy and Dan Sharp and all the fine folks at Sony Pictures in Culver City. All the folks down in Soundfirm in Sydney.

And a special thank you tonight to my mother, Skippy O'Connell, who 39 years ago got me a job in sound. And when I asked her, ""Ma, how can I ever thank you?"" She looked at me and she said, ""You know, I'll tell you how you can thank me. You can work hard. You can work really hard, and then someday you go win yourself an Oscar and you can stand up there on that stage and you can thank me in front of the whole world."" Mom, I know you're looking down on me tonight. So thank you. Thank you all so much. I really appreciate this.
"
2016,Honorary Award,"To Jackie Chan, an international film star who has captivated millions with his wit, boundless energy and unparalleled athletic artistry."," JACKIE CHAN:
Academy Award! I still can't believe I'm standing here. It's a dream. Long time ago, every year when I watch Oscar with my dad, sometime with my mom. My dad always say, ""Son, you get so many movie award in the world. When are you get one of these?"" Then I just look at my dad: ""Ha, ha, ha. Dad, I only make comedy action movies."" Many years later I come to Hollywood, meeting with some big studio, director, my friend's house, Stallone's house. That was 23 years ago. I see these little things in his house. I touched it. I kissed it. I smelled it. I believe still have my fingerprints in; you keep it. Then I talk to myself, ""I really want one."" Finally, Cheryl calls. I said, ""Are you sure?"" After 56 years [in the] film industry, making more than 200 films, I break so many bones. Finally, this is mine. This is mine.

I want to thank you, Hong King, incredible city, my hometown, my hood, who make me. China, my country. Proud to be Chinese. Thank you, Hollywood, for all those years teaching me so many things, and also make me a little bit famous. And I thank you, my family, my wife Joan, my son Jaycee, my special Jackie Chan Stunt Team. This year it's the Jackie Chan Stunt Team 40 years anniversary. And all the friends, thank you. Thank you from the bottom of my heart.

And ladies and gentlemen, and also distinguished guests, and Academy Motion Picture Art and Science, thank you, thank you, thank you. And, and I want to thank you – who should I thank you? And I forget. I don't know! I just, it's honor to be here. It's my honor. Thank you. Thank you. [Music starts up.] Oh! Oh! Oh! Ah! Ah! Ah! [Music stops.] Last, not least, million thanks to all my friends, fans around the world. Because [of] you I can, I have a reason continue to make movies, jumping in window, kicking and punching, keep breaking my bone. Thank you so much. Thank you, Oscar! Thank you!
"
2016,Honorary Award,"To Frederick Wiseman, whose masterful and distinctive documentaries examine the familiar and reveal the unexpected."," FREDERICK WISEMAN:
Thank you. Thank you. I'm very pleased to be here to receive the Board of Governors Honorary Academy Award. It's a great and wonderful recognition of the work I've been doing for 50 years. What's kept me going is that it's fun and an adventure. Constantly working also keeps me off the street, or at least on the streets that I like. While making the movies is physically and intellectually demanding it's rare that I felt any strain. I'm lucky I found work that I like and that I continue to be obsessed with. This compulsion has always been understood by my wife, Zipporah, and my sons, David and Eric. I am grateful and very appreciative for their constant support. They recognized long ago that I'm a New England Jewish Puritan and let me go my errant ways. I'm also very pleased that my grandchildren, Tess and Ben and Charlie, are here tonight to help me celebrate.

I want to thank Karen Konicek, who has run my production company, Zipporah Films, for 35 years, and whose unfailing good cheer and sound advice has made it possible to wander around and make movies. I also want to express my thanks and appreciation to John Davey, the terrific cameraman with whom I worked since 1979. I'm glad that both John and Karen are here tonight. I also want to acknowledge the contribution of the late William Brayne, the cameraman who worked with me on many earlier films. And also I want to thank the many others who helped in the production of the movies. Irwin Young, the President of DuArt Films, one of independent filmmaker's best friends, provided deferment deals which made many of my early films possible. I'm grateful to PBS for its support for all of my films. The films couldn't have made without – couldn't have not have been made without the constant support of The Ford Foundation and frequent grants from the MacArthur, Pershing Square, and LEF Foundations, ITVS and the Sundance Documentary Fund. Additional funding has sometimes been provided by my singing and selling pencils outside Neiman Marcus department stores.

Making a movie is always an adventure. I usually know nothing about the subject before I start, and I know there are those that feel I know nothing about it when it's finished. I never start with a point of view about the subject or a thesis that I want to prove. I also don't do any research in advance of the shooting. I usually don't know in advance what's going to be shot or what I'm gonna stumble across in any day or any moment of any day. The editing is an effort to impose order on the chaos of the rushes through the creation of a fictional form that provides meaning to the film. The goal is to make a film that is close to a, closer to a visual novel than a journalistic account. This process involves sitting in the editing room for eight to ten months, getting fed intravenously until the film is found.

Each film is also an opportunity to learn something about a new subject. I've been involved in a 50-year course in adult education, where I'm the alleged adult who studies a new subject every year. The variety and complexity of the human behavior observed in making one of the films, and cumulatively all of the films, is staggering. And I think it is as important to document kindness, civility and generosity of spirit as it is to show cruelty, banality and indifference. There are always a lot of laughs and I'm not the first to observe that so much of human behavior, my own and others, is when seen from a detached point of view, funny. For example, when I was working on the film that became ""Near Death,"" a film about dying patients, there were several occasions when we shot in the hospital morgue. On the last day of shooting I went around thanking the various staff who had been helpful. Among them was a man responsible for the morgue. I caught up with him in the hospital cafeteria and thanked him for his help. We shook hands warmly and he said, ""See you soon."" Thank you, and see you soon.
"
2017,Actor in a Leading Role,Gary Oldman,"GARY OLDMAN:
Well, my deepest thanks to the Academy and its members for this glorious prize. I owe this and so much more to so many. I've lived in America for the longest time and I am deeply grateful to her for the loves and the friendships I have made and the many wonderful gifts it has given me: my home, my livelihood, my family and now Oscar. The movies, such is their power, captivated a young man from South London and gave him a dream. And Douglas Urbanski, my dear, dear friend and brother, you have helped keep that dream alive. Joe Wright, thank you for this [holding out the Oscar]. It only took twenty years for us to work together, but it was well worth the wait. Thank you, Kazu, Lucy, David, for your artistry. Thank you, everyone at Working Title and Universal Focus, for your herculean efforts and support on this film. Thank you, Eric Fellner, Tim Bevan, Lisa Bruce, Anthony McCarten. Dani and her amazing team. And of course, Jim Osborne.

I would just like to salute Sir Winston Churchill who has been marvelous company on what can be described as an incredible journey, and my wife Gisele for traveling that road with me and being at my side. Thank you, Alfie, Gully, Charlie, William. My remarkable, remarkable fellow nominees, and my dear friend out there, Denzel. And obviously I'm not gonna win the, uh, you know, the ski. I would like to thank my mother who is older than the Oscar. She is 99 years young next birthday, and she is watching this ceremony from the comfort of her sofa. I say to my mother: Thank you for your love and support. Put the kettle on, I'm bringing Oscar home."
2017,Animated Feature Film,"Lee Unkrich and Darla K. Anderson
","DARLA K. ANDERSON:
Thank you to the Academy. We are so happy. ""Coco"" is proof that art can change and connect the world, and this can only be done when we have a place for everyone and anyone who feels like an ""other"" to be heard. This is dedicated with enormous love to my gigantic, interwoven family and most especially my wife, my rock, Kori Rae.

ADRIAN MOLINA (co-director and writer):
Love and thanks to my family, my Latino community, to my husband Ryan, each for expanding my sense of what it means to be proud of who you are and where you're from. We hope the same thing for everyone who connected with this film.

LEE UNKRICH:
We share this with our immensely talented cast and crew as well as the executive teams at Disney and Pixar. Thanks for the support of my wife Laura, my three kids, Hannah, Alice, Max. My entire family, I love you. And the biggest thank you of all to the people of Mexico. ""Coco"" would not exist without your endlessly beautiful culture and traditions. With ""Coco"" we tried to take a step forward toward a world where all children can grow up seeing characters in movies that look and talk and live like they do. Marginalized people deserve to feel like they belong. Representation matters.

ANTHONY GONZALEZ (actor; voice of Miguel):
¡Muchísimas gracias a todos y que viva México!"
2017,Cinematography,"Roger A. Deakins
","ROGER A. DEAKINS:
Thank you. Thank you. I guess I better say something or else they'll give me a jet ski, and I don't see myself on a jet ski, somehow. I want to share this with my wife of 27 years: James, [he does a high-five sign, which she does back from the audience] whatever. I want to share it with Andrew and Broderick and Denis Villeneuve. You know, I really love my job. I've been doing it a long time, as you can see. But you know, one of the reasons I really love it is the people I work with, both in front of the camera and behind the camera. Some of my crew on ""Blade Runner"" I've been working with for over thirty years, and others I met for the first time in Budapest. And this is for every one of them, every one of them. In fact, I gotta say it's for us. Because it was a team. It was really a team effort. Thank you. Thank you very much."
2017,Documentary (Feature),"Bryan Fogel and Dan Cogan
","BRYAN FOGEL:
Thank you. Thank you to the Academy. Thanks to Ted Sarandos, Lisa Nishimura and Adam Del Deo, our incredible partners at Netflix. UTA, Rena Ronson, and our fellow producers, Jim Swartz and David Fialkow. And our amazing creative team, Jon Bertain, Mark Monroe, Jake Swantko, Adam Peters. And my parents, who are here, I love you guys. We dedicate this award to Dr. Grigory Rodchenkov, our fearless whistleblower who now lives in grave danger. We hope ""Icarus"" is a wake-up call. Yes, about Russia; but more than that, about the importance of telling the truth, now more than ever.

DAN COGAN:
To my wife Liz Garbus, you taught me everything I know about how to support a great filmmaker, because you are one. Amelia and Theo, I love you. And Geralyn Dreyfous and all the members of Impact Partners, thank you all for making films like ""Icarus"" possible. Thank you."
2017,Documentary (Short Subject),"Frank Stiefel
","FRANK STIEFEL:
My kids are hosting an Oscar party, which I think probably just got a lot louder. This is amazing for so many reasons. The source of this film is the source of everything that's gone well for me for the last forty years; it's my wife, BJ Dockweiler. To Ting Poo, Casey Price, Paul Maroon, Masaki Yokochi, Ben Marias, thank you for giving the film what I couldn't. To Mindy, who's somewhere up there [looking toward the balcony section]. Mindy, I'm really proud of this, but I always knew that the only reason people would care about it is because we all care about you. Thank you."
